	control_sample_28
DDX11L1	3.855763386
WASH7P	27.95428455
LOC729737	53.01674656
LOC100133331	5.783645079
LOC101928626	1
MIR6723	2.891822539
LOC100288069	27.95428455
FAM87B	24.09852116
LINC00115	1.927881693
LINC01128	125.31231
FAM41C	1
LOC100130417	1
SAMD11	1
NOC2L	58.80039164
KLHL17	21.20669862
PLEKHN1	1.927881693
PERM1	1
HES4	2.891822539
ISG15	95.4301438
AGRN	9.639408465
RNF223	1
C1orf159	21.20669862
LINC01342	1
MIR200B	1
MIR200A	1
MIR429	1
TTLL10	1
TNFRSF18	7.711526772
TNFRSF4	14.4591127
SDF4	93.50226211
B3GALT6	66.51191841
FAM132A	1.927881693
UBE2J2	152.3026537
SCNN1D	5.783645079
ACAP3	68.4398001
PUSL1	24.09852116
CPSF3L	142.6632453
CPTP	21.20669862
TAS1R3	8.675467618
DVL1	80.00709026
MXRA8	16.38699439
AURKAIP1	130.1320143
CCNL2	533.0592881
LOC148413	120.4926058
MRPL20	100.249848
ANKRD65	1
TMEM88B	1
LOC102724312	1
VWA1	1
ATAD3C	1
ATAD3B	41.4494564
ATAD3A	20.24275778
TMEM240	1
SSU72	132.059896
C1orf233	2.891822539
MIB2	62.65615502
MMP23B	1
MMP23A	1
CDK11B	47.23310148
SLC35E2B	133.0238368
CDK11A	17.35093524
SLC35E2	125.31231
NADK	998.642717
GNB1	1207.817881
CALML6	1
TMEM52	1
CFAP74	1
GABRD	1
PRKCZ	39.52157471
FAAP20	26.9903437
SKI	88.68255788
MORN1	15.42305354
LOC100129534	1.927881693
RER1	463.6555472
PEX10	12.531231
PLCH2	16.38699439
PANK4	141.6993044
HES5	1
LOC115110	33.73792963
TNFRSF14	390.3960428
LOC100996583	24.09852116
FAM213B	15.42305354
MMEL1	1
TTC34	1
ACTRT2	1
LINC00982	1
PRDM16	2.891822539
MIR4251	1
ARHGEF16	1
MEGF6	195.6799918
MIR551A	1
TPRG1L	368.2254034
WRAP73	105.0695523
TP73	1
TP73-AS1	47.23310148
CCDC27	1
SMIM1	7.711526772
LRRC47	123.3844284
CEP104	114.7089607
DFFB	78.07920857
C1orf174	113.7450199
LINC01134	1.927881693
LINC01346	1
LOC284661	1
AJAP1	3.855763386
MIR4417	1
MIR4689	1
NPHP4	26.02640286
KCNAB2	347.0187047
CHD5	3.855763386
RPL22	721.991694
LOC102724450	1
RNF207	7.711526772
ICMT	227.4900398
LINC00337	1
HES3	1
GPR153	1
ACOT7	4.819704232
HES2	1
ESPN	7.711526772
MIR4252	1
TNFRSF25	109.8892565
PLEKHG5	6.747585925
NOL9	176.4011749
TAS1R1	1
ZBTB48	125.31231
KLHL21	283.3986089
PHF13	66.51191841
THAP3	63.62009587
DNAJC11	63.62009587
LOC100505887	1
CAMTA1	81.93497195
VAMP3	602.4630291
PER3	102.1777297
UTS2	27.95428455
TNFRSF9	59.76433248
PARK7	396.1796879
ERRFI1	2.891822539
LOC102724539	1
SLC45A1	1
RERE	341.2350597
LOC102724552	28.91822539
ENO1	3465.367343
MIR6728	1
ENO1-AS1	1
CA6	22.17063947
SLC2A7	1
SLC2A5	15.42305354
GPR157	3.855763386
MIR34A	1
H6PD	148.4468904
SPSB1	8.675467618
LOC100506022	1
SLC25A33	25.06246201
TMEM201	9.639408465
PIK3CD	1239.627929
PIK3CD-AS1	69.40374095
PIK3CD-AS2	13.49517185
CLSTN1	204.3554595
CTNNBIP1	40.48551555
LZIC	124.3483692
NMNAT1	125.31231
MIR5697	1
RBP7	72.29556349
UBE4B	276.6510229
KIF1B	748.9820377
RNU6-2	72.29556349
PGD	1740.877169
APITD1	1
CORT	3.855763386
DFFA	91.57438042
PEX14	9.639408465
CASZ1	20.24275778
C1orf127	1
TARDBP	584.148153
MASP2	65.54797756
SRM	10.60334931
EXOSC10	291.1101356
MTOR	400.0354513
MTOR-AS1	2.891822539
ANGPTL7	17.35093524
UBIAD1	71.33162264
PTCHD2	1
LOC101929181	1
FBXO2	5.783645079
FBXO44	34.70187047
FBXO6	70.36768179
MAD2L2	89.64649872
DRAXIN	1.927881693
AGTRAP	220.7424538
C1orf167	1
LOC102724659	1
MTHFR	221.7063947
CLCN6	70.36768179
NPPA-AS1	1.927881693
NPPA	1
NPPB	1
KIAA2013	191.8242285
PLOD1	172.5454115
MFN2	608.2466741
MIIP	179.2929974
TNFRSF8	78.07920857
TNFRSF1B	1495.072253
MIR4632	1.927881693
VPS13D	1309.03167
DHRS3	69.40374095
MIR6730	1
AADACL4	1
AADACL3	1.927881693
C1orf158	1
PRAMEF12	1
PRAMEF1	1.927881693
PRAMEF11	1
PRAMEF2	1
PRAMEF4	1
PRAMEF6	1
HNRNPCL2	1
PRAMEF17	1
LRRC38	1
PDPN	1
PRDM2	598.6072657
KAZN	7.711526772
TMEM51-AS1	1
TMEM51	3.855763386
C1orf195	1
FHAD1	12.531231
EFHD2	899.3568098
CTRC	1
CELA2A	1
CELA2B	1.927881693
CASP9	104.1056114
DNAJC16	206.2833411
AGMAT	39.52157471
DDI2	165.7978256
RSC1A1	57.83645079
PLEKHM2	177.3651158
SLC25A34	2.891822539
TMEM82	1
FBLIM1	1
UQCRHL	11.56729016
FLJ37453	63.62009587
SPEN	942.7341479
MIR5096	2.891822539
ZBTB17	149.4108312
C1orf64	1
HSPB7	1
CLCNKA	1
CLCNKB	1
FAM131C	1
EPHA2	2.891822539
ARHGEF19	12.531231
RSG1	8.675467618
FBXO42	253.5164426
SZRD1	227.4900398
SPATA21	4.819704232
NECAP2	538.8429332
CROCCP3	124.3483692
FAM231B	1
MIR3675	1
NBPF1	112.781079
CROCCP2	71.33162264
MST1P2	11.56729016
ESPNP	1
MST1L	9.639408465
CROCC	26.02640286
MFAP2	1
ATP13A2	26.02640286
SDHB	342.1990005
PADI2	414.494564
PADI1	1
PADI3	1
PADI4	231.3458032
PADI6	1
RCC2	374.9729893
ARHGEF10L	117.6007833
ACTL8	1
LOC101927876	1
IGSF21	1
KLHDC7A	9.639408465
PAX7	1
TAS1R2	1
ALDH4A1	15.42305354
MIR1290	1
IFFO2	176.4011749
UBR4	1572.187521
EMC1	148.4468904
MRTO4	85.79073534
AKR7L	1
AKR7A3	1
LOC100506730	1
AKR7A2	97.3580255
